temporada,link,liga_url,cod_liga,folder
2026/2027,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2026-2027/94e2tqj0lcfsmhmbk75knn310/fixtures,uefa-super-cup-2026-2027,94e2tqj0lcfsmhmbk75knn310,UEFA_UEFA_Super_Cup
2025/2026,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2025-2026/db8f4sqdf7s0g850fspnf8hlg/fixtures,uefa-super-cup-2025-2026,db8f4sqdf7s0g850fspnf8hlg,UEFA_UEFA_Super_Cup
2024/2025,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2024-2025/4rbs6ubspu2ym7bg6kt1gtuz8/results,uefa-super-cup-2024-2025,4rbs6ubspu2ym7bg6kt1gtuz8,UEFA_UEFA_Super_Cup
2023/2024,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/results,uefa-super-cup-2023-2024,4ef6pxrywhpffwguublgrsro4,UEFA_UEFA_Super_Cup
2022/2023,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2022-2023/3ua7g6iazccbw29p5saydh4ic/results,uefa-super-cup-2022-2023,3ua7g6iazccbw29p5saydh4ic,UEFA_UEFA_Super_Cup
2021/2022,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2021-2022/cdgsb1vg0o8inwdz37l70bk0k/results,uefa-super-cup-2021-2022,cdgsb1vg0o8inwdz37l70bk0k,UEFA_UEFA_Super_Cup
2020/2021,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2020-2021/1likk1so1f5kkfarfustln88a/results,uefa-super-cup-2020-2021,1likk1so1f5kkfarfustln88a,UEFA_UEFA_Super_Cup
2019/2020,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2019-2020/32c5glfaeyuwdboj0tz17tmju/results,uefa-super-cup-2019-2020,32c5glfaeyuwdboj0tz17tmju,UEFA_UEFA_Super_Cup
2018/2019,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2018-2019/adooa143g0rm2fdlcsrliz9t6/results,uefa-super-cup-2018-2019,adooa143g0rm2fdlcsrliz9t6,UEFA_UEFA_Super_Cup
2017/2018,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/results,uefa-super-cup-2017-2018,7py3ue52qyex5lpht97yndpex,UEFA_UEFA_Super_Cup
2016/2017,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2016-2017/zx630fl2xj8ti5hmpucnhfqh/results,uefa-super-cup-2016-2017,zx630fl2xj8ti5hmpucnhfqh,UEFA_UEFA_Super_Cup
2015/2016,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2015-2016/3rvp3erpxyi3mxtm9ecvujjrp/results,uefa-super-cup-2015-2016,3rvp3erpxyi3mxtm9ecvujjrp,UEFA_UEFA_Super_Cup
2014/2015,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2014-2015/exi2z0r2a4cxezwhb1pow4ln2/results,uefa-super-cup-2014-2015,exi2z0r2a4cxezwhb1pow4ln2,UEFA_UEFA_Super_Cup
